company_id,company_name,company_profile_url,country,city,address,website,phone,contact_person,contact_designation,member_status,member_since,verified,verification_details,legal_entity,established_year,primary_business,role,products_listed_count,deal_focus,description,search_terms,category_types,search_tab,scrape_date
1340580,Supannee Trading Limited Partership,https://www.go4worldbusiness.com/member/view/1340580/supannee-trading-limited-partership.html,Thailand,Bangkok,"5/3 Mu, 1 Thung Song Hong Lak Si Bangkok 90500 Thailand",http://www.supanneethongmanpcl.com,NULL,Thaigwan Jaar,Manager,Premium,"July, 2015",NULL,NULL,Supannee Trading Limited Partership,NULL,Manufacturer/ OEM,Supplier,24,"Sells Energy products, dairy products and animal feed","Supannee Trading Limited Partership is a junior supplier from Bangkok, Thailand. They are a manufacturer/oem specializing in energy products, dairy products, animal feed and oil seeds. They list 24 products.",Gum Acacia Soluble Fibre; Acesulfame-K,Acacia Fiber; Acesulfame,suppliers,2026-07-20
887114,"Spice Solution Co., Ltd.",https://www.go4worldbusiness.com/member/view/887114/spice-solution-co-ltd-.html,Thailand,Bangkok,1197/137 The Parkland Tower4 7Fl. Bangkok 10100 Bangna Thailand,https://www.go4worldbusiness.com/member/view/887114/spice-solution-co-ltd-.html,NULL,Alex,General Manager,Premium,"April, 2010",NULL,NULL,"Spice Solution Co., Ltd.",2010,Distributor,Buyer,1,"Buys Cinnamon, clove and cardamom","Spice Solution Co., Ltd. is a junior buyer from Bangkok, Thailand. They are a distributor for cinnamon, clove and cardamom. Founded in 2010. They list 1 product.",Gum Acacia Soluble Fibre,Acacia Fiber,suppliers,2026-07-20
3264311,"Jumbo Trading Co.,Ltd",https://www.go4worldbusiness.com/member/view/3264311/jumbo-trading-co-ltd.html,Thailand,Phrakanong,"4388/1 Soi Farmwattana, Rama4 Road, Mob. +66631967573, +66818363785 Phrakanong 10110 Bangkok Thailand",http://www.jumbo.th.com,NULL,Sagid,Manager,Premium,"March, 2021",NULL,NULL,"Jumbo Trading Co.,Ltd",1994,Manufacturer/ OEM,Buyer and Supplier,NULL,"Sells Gum Arabic, Arabic Gum and Acacia Senegal | Buys Milling Machines","Jumbo Trading Co.,Ltd is a junior buyer and supplier from Phrakanong, Thailand. They are a manufacturer/oem specializing in gum arabic, arabic gum, acacia senegal and acacia seyal and cotton. They are a manufacturer/oem for milling machines. Founded in 1994, they report annual sales of USD 1 million to USD 5 million.",Gum Acacia Soluble Fibre,Acacia Fiber,companies,2026-07-20
3847304,Great Land Corp. Ltd.,https://www.go4worldbusiness.com/member/view/3847304/great-land-corp-ltd-.html,Thailand,NULL,- - Thailand,https://www.go4worldbusiness.com/member/view/3847304/great-land-corp-ltd-.html,NULL,Gajita Thanachayapat Phone: Not displayed by user.,NULL,Premium,"February, 2023",NULL,NULL,Great Land Corp. Ltd.,2023,NULL,Supplier,NULL,Sells Acacia Wood,Great Land Corp. Ltd. is a junior supplier from Thailand. They supply acacia wood. Founded in 2023.,Gum Acacia Soluble Fibre,Acacia Fiber,companies,2026-07-20
1680774,Thai Acrylic Fibre Co. Ltd.,https://www.go4worldbusiness.com/member/view/1680774/thai-acrylic-fibre-co-ltd-.html,Thailand,Bangkok,Thailand Bangkok Thailand,https://www.go4worldbusiness.com/member/view/1680774/thai-acrylic-fibre-co-ltd-.html,NULL,Ashwini Phone: Not displayed by user.,NULL,Premium,"January, 2019",NULL,NULL,Thai Acrylic Fibre Co. Ltd.,NULL,NULL,Supplier,NULL,Sells Acrylic fibre,"Thai Acrylic Fibre Co. Ltd. is a junior supplier from Bangkok, Thailand. They supply acrylic fibre.",Gum Acacia Soluble Fibre; Acerola Cherry Fruit Fibre,Acacia Fiber; Acerola Cherry Extract & Products,companies,2026-07-20
3630421,"The Plus Power Co.,Ltd",https://www.go4worldbusiness.com/member/view/3630421/the-plus-power-co-ltd.html,Thailand,NULL,- - Thailand,https://www.go4worldbusiness.com/member/view/3630421/the-plus-power-co-ltd.html,NULL,Ukkrit Palachote Phone: Not displayed by user.,NULL,Premium,"May, 2022",NULL,NULL,"The Plus Power Co.,Ltd",2022,NULL,Supplier,NULL,Sells Acacia And Eucalyptus Wood Chips,"The Plus Power Co.,Ltd is a junior supplier from Thailand. They supply acacia and eucalyptus wood chips. Founded in 2022.",Gum Acacia Soluble Fibre,Acacia Fiber,companies,2026-07-20
3391764,World D Trading,https://www.go4worldbusiness.com/member/view/3391764/world-d-trading.html,Thailand,NULL,Thailand - Thailand,https://www.go4worldbusiness.com/member/view/3391764/world-d-trading.html,NULL,Arnon D Phone: Not displayed by user.,NULL,Premium,"August, 2021",NULL,NULL,World D Trading,2021,NULL,Supplier,NULL,Sells Damar batu,World D Trading is a junior supplier from Thailand. They supply damar batu. Founded in 2021.,Gum Acacia Soluble Fibre,Acacia Fiber,companies,2026-07-20
3314071,"Jumbo Trading Co., Th",https://www.go4worldbusiness.com/member/view/3314071/jumbo-trading-co-th.html,Thailand,Bkk,4388/1 Soi Framwattana Rama 4 Bkk 10110 Thailand,http://www.jumbo.th.com,NULL,Kiran,Global Marketing,Premium,"May, 2021",NULL,NULL,"Jumbo Trading Co., Th",2000,Manufacturer/ OEM,Supplier and Service Provider,NULL,"Sells Gum arabic, cotton and pigeon pea | Services Distributors","Jumbo Trading Co., Th is a junior supplier and service provider from Bkk, Thailand. They are a manufacturer/oem specializing in gum arabic, cotton and pigeon pea. They provide services such as distributors. Founded in 2000, they report annual sales of USD 15 million to USD 25 million. They are Halal certificate, Kosher certificate and Thai FDA Certificate certified.",Gum Acacia Soluble Fibre,Acacia Fiber,companies,2026-07-20
4688219,Palm,https://www.go4worldbusiness.com/member/view/4688219/palm.html,Thailand,NULL,- - Thailand,https://www.go4worldbusiness.com/member/view/4688219/palm.html,NULL,Palm Phone: Not displayed by user.,NULL,Premium,"April, 2026",NULL,NULL,Palm,2026,NULL,Supplier,NULL,"Sells Young dried betel nut, olibanum and myrrha gum","Palm is a junior supplier from Thailand. They supply young dried betel nut, olibanum, myrrha gum and aloe gum and many other herbs.. Founded in 2026.",Gum Acacia Soluble Fibre,Acacia Fiber,companies,2026-07-20
406497,"Henson International Co., Ltd.",https://www.go4worldbusiness.com/member/view/406497/henson-international-co-ltd-.html,Thailand,Bangkok,"667/15 Room 703/2 Ataboon Bldg 7th Flr Charansanitwong Rd., Arun-Amarin Bangkoknoi Bangkok 10700 Thailand",https://www.go4worldbusiness.com/member/view/406497/henson-international-co-ltd-.html,NULL,Sarayu Junphungsook,Merchandiser,Premium,"July, 2006",NULL,NULL,"Henson International Co., Ltd.",NULL,Distributor,Supplier,NULL,"Sells Frozen seafood, dried sea food and coconut fibre","Henson International Co., Ltd. is a junior supplier from Bangkok, Thailand. They are a distributor specializing in frozen seafood, dried sea food, coconut fibre and coconut. They report annual sales of USD 15 million to USD 25 million.",Gum Acacia Soluble Fibre; Acerola Cherry Fruit Fibre,Acacia Fiber; Acerola Cherry Extract & Products,companies,2026-07-20
